flow_id,src_ip,dst_ip,src_port,dst_port,protocol,start_time,end_time,duration_seconds,total_packets,forward_packets,backward_packets,is_bidirectional,forward_backward_ratio,total_bytes,forward_bytes,backward_bytes,total_payload_bytes,forward_payload_bytes,backward_payload_bytes,packets_per_second,bytes_per_second,min_packet_size,max_packet_size,avg_packet_size,avg_inter_arrival_ms,min_inter_arrival_ms,max_inter_arrival_ms,tcp_flags,syn_count,fin_count,rst_count,ack_count,connection_state
192.168.0.54:49524 <-> 80.239.217.49:80 (TCP),192.168.0.54,80.239.217.49,49524,80,TCP,2015-03-09 14:41:13.080753,2015-03-09 14:41:23.667526,10.586773,48205,16087,32118,True,0.5008717852917367,47660380,965612,46694768,46021410,418654,45602756,4553.323283686162,4501879.845728249,60,1454,988.7020018670263,0.21962436727243204,0.0,43.637,"A,PA,S,SA",1,0,0,48204,Established
192.168.0.54:49440 <-> 213.155.151.143:80 (TCP),192.168.0.54,213.155.151.143,49440,80,TCP,2015-03-09 14:40:32.141820,2015-03-09 14:41:14.157141,42.015321,44651,14921,29730,True,0.501883619239825,43937843,896741,43041102,42419709,389427,42030282,1062.7313783940863,1045757.6415993585,60,1454,984.0281964569663,0.9409926315789654,0.0,30045.464,"A,FA,PA,S,SA",1,2,0,44650,Closed
192.168.0.53:1424 <-> 54.230.99.50:80 (TCP),192.168.0.53,54.230.99.50,1424,80,TCP,2015-03-09 14:33:28.729453,2015-03-09 14:34:01.318508,32.589055,18169,6101,12068,True,0.5055518727212462,17905832,367991,17537841,17288086,160557,17127529,557.5184674732053,549443.1182493631,60,1454,985.5155484616655,1.79376128357568,0.0,10415.545,"A,PA,RA,S,SA",1,0,1,18168,Reset
173.194.67.103:443 <-> 192.168.0.54:49466 (TCP),173.194.67.103,192.168.0.54,443,49466,TCP,2015-03-09 14:40:55.150085,2015-03-09 14:41:10.965636,15.815551,4172,2696,1476,True,1.8265582655826558,3960922,3864482,96440,3819074,3772818,46256,263.7909991248487,250444.76793758245,60,1454,949.4060402684564,3.7917887796691496,0.0,13481.215,"A,PA,S,SA",1,0,0,4171,Established
134.170.58.118:443 <-> 192.168.0.54:49183 (TCP),134.170.58.118,192.168.0.54,443,49183,TCP,2015-03-09 14:38:57.412145,2015-03-09 14:41:22.137787,144.725642,2674,1073,1601,True,0.670206121174266,2575323,645780,1929543,2484407,609298,1875109,18.476338837038984,17794.517712348446,60,1454,963.0976065818998,54.143524878413544,0.0,26837.454999999998,"A,PA,S,SA",1,0,0,2673,Established
192.168.0.54:49507 <-> 80.239.217.49:80 (TCP),192.168.0.54,80.239.217.49,49507,80,TCP,2015-03-09 14:41:05.352193,2015-03-09 14:41:06.178175,0.825982,2165,724,1441,True,0.5024288688410826,2130745,43628,2087117,2057135,19012,2038123,2621.122494194789,2579650.6461399887,60,1454,984.1778290993071,0.3816922365988859,0.0,50.535999999999994,"A,FA,PA,S,SA",1,2,0,2164,Closed
192.168.0.54:49193 <-> 195.12.232.171:80 (TCP),192.168.0.54,195.12.232.171,49193,80,TCP,2015-03-09 14:39:26.869760,2015-03-09 14:40:35.258891,68.389131,2290,854,1436,True,0.5947075208913649,2072569,80995,1991574,1994709,51959,1942750,33.48485302437897,30305.532029643713,60,1454,905.0519650655021,29.877296199213717,0.0,11931.577000000001,"A,PA,RA,S,SA",1,0,1,2289,Reset
191.232.80.55:443 <-> 192.168.0.53:1175 (TCP),191.232.80.55,192.168.0.53,443,1175,TCP,2015-03-09 14:03:09.819938,2015-03-09 14:05:17.757310,127.937372,2076,1145,931,True,1.229860365198711,1867410,1369830,497580,1796826,1330900,465926,16.226689414880276,14596.282312255093,60,1454,899.5231213872833,61.65656481927704,0.0,59985.081,"A,PA,RA,S,SA",1,0,1,2075,Reset
192.168.0.54:49505 <-> 80.239.217.49:80 (TCP),192.168.0.54,80.239.217.49,49505,80,TCP,2015-03-09 14:41:04.415680,2015-03-09 14:41:04.982163,0.566483,1780,597,1183,True,0.5046491969568893,1747940,36018,1711922,1687420,15720,1671700,3142.194911409522,3085600.0974433483,60,1454,981.9887640449438,0.3184277684092163,0.0,54.504,"A,FA,PA,S,SA",1,2,0,1779,Closed
192.168.0.53:1180 <-> 195.12.232.171:80 (TCP),192.168.0.53,195.12.232.171,1180,80,TCP,2015-03-09 14:13:20.993227,2015-03-09 14:14:51.168640,90.175413,1787,621,1166,True,0.532590051457976,1722281,38294,1683987,1661523,17180,1644343,19.81693169511738,19099.23051863372,60,1454,963.7834359261332,50.490152855543116,0.0,88048.273,"A,PA,RA,S,SA",1,0,1,1786,Reset
192.168.0.54:49411 <-> 74.125.232.96:443 (TCP),192.168.0.54,74.125.232.96,49411,443,TCP,2015-03-09 14:40:07.287076,2015-03-09 14:40:19.142558,11.855482,1066,368,698,True,0.5272206303724928,1023198,23223,999975,986954,10711,976243,89.91620922709005,86305.89629337718,60,1454,959.8480300187617,11.131907981220648,0.0,3535.3219999999997,"A,PA,S,SA",1,0,0,1065,Established
192.168.0.53:1201 <-> 80.239.237.26:80 (TCP),192.168.0.53,80.239.237.26,1201,80,TCP,2015-03-09 14:14:23.342548,2015-03-09 14:14:23.902213,0.559665,855,287,568,True,0.5052816901408451,838890,17913,820977,809820,8155,801665,1527.6996060143122,1498914.5292273057,60,1454,981.1578947368421,0.6553454332552675,0.0,38.375,"A,FA,FPA,PA,S,SA",1,2,0,854,Closed
192.168.0.53:1166 <-> 80.239.237.26:80 (TCP),192.168.0.53,80.239.237.26,1166,80,TCP,2015-03-09 14:01:10.142303,2015-03-09 14:01:10.784945,0.642642,793,271,522,True,0.5191570881226054,769447,16688,752759,742485,7474,735011,1233.9685236881498,1197318.2580659215,60,1454,970.2988650693569,0.8114166666666651,0.0,85.149,"A,FA,PA,S,SA",1,2,0,792,Closed
192.168.0.54:49443 <-> 195.12.232.171:80 (TCP),192.168.0.54,195.12.232.171,49443,80,TCP,2015-03-09 14:40:37.540407,2015-03-09 14:40:51.807670,14.267263,697,252,445,True,0.5662921348314607,645282,21694,623588,621584,13126,608458,48.853098173069355,45228.15623431067,60,1454,925.7991391678622,20.498941091954016,0.0,5576.146,"A,PA,S,SA",1,0,0,696,Established
192.168.0.53:1174 <-> 195.12.232.171:80 (TCP),192.168.0.53,195.12.232.171,1174,80,TCP,2015-03-09 14:03:09.421544,2015-03-09 14:05:09.804131,120.382587,742,290,452,True,0.6415929203539823,623552,30545,593007,598324,20685,577639,6.163682127881169,5179.752450410457,60,1454,840.366576819407,162.4596315789473,0.0,60125.915,"A,PA,RA,S,SA",1,0,1,741,Reset
192.168.0.54:49178 <-> 8.36.120.225:80 (TCP),192.168.0.54,8.36.120.225,49178,80,TCP,2015-03-09 14:38:31.169159,2015-03-09 14:38:38.766590,7.597431,500,173,327,True,0.5290519877675841,466687,10593,456094,449687,4711,444976,65.81171977738265,61426.94813549475,60,1422,933.374,15.225312625250487,0.0,504.76699999999994,"A,FA,FPA,PA,S,SA",1,2,0,499,Closed
192.168.0.53:1281 <-> 204.79.197.200:80 (TCP),192.168.0.53,204.79.197.200,1281,80,TCP,2015-03-09 14:28:38.501850,2015-03-09 14:28:44.607114,6.105264,536,187,349,True,0.5358166189111748,459003,27129,431874,440779,20771,420008,87.79309133888395,75181.51549220477,60,1454,856.348880597015,11.411708411214946,0.0,699.9830000000001,"A,PA,RA,S,SA",1,0,1,535,Reset
192.168.0.53:1236 <-> 204.79.197.200:80 (TCP),192.168.0.53,204.79.197.200,1236,80,TCP,2015-03-09 14:17:06.131371,2015-03-09 14:17:18.202792,12.071421,563,203,360,True,0.5638888888888889,451924,32351,419573,432782,25449,407333,46.63908250735352,37437.514605778386,60,1454,802.7069271758437,21.479396797153036,0.0,2066.9990000000003,"A,PA,RA,S,SA",1,0,1,562,Reset
